as_of_date,ticker
2018-01-01,AAPL
2018-01-01,MSFT
2018-01-01,GOOGL
2018-01-01,AMZN
2018-01-01,JPM
2018-01-01,JNJ
2018-01-01,XOM
2018-01-01,WMT
2018-01-01,PG
2018-01-01,KO
2020-06-01,AAPL
2020-06-01,MSFT
2020-06-01,GOOGL
2020-06-01,AMZN
2020-06-01,META
2020-06-01,NVDA
2020-06-01,TSLA
2020-06-01,JPM
2020-06-01,JNJ
2020-06-01,XOM
2020-06-01,WMT
2020-06-01,PG
2020-06-01,KO
2020-06-01,UNH
2020-06-01,V
2023-01-01,AAPL
2023-01-01,MSFT
2023-01-01,GOOGL
2023-01-01,AMZN
2023-01-01,META
2023-01-01,NVDA
2023-01-01,TSLA
2023-01-01,AVGO
2023-01-01,JPM
2023-01-01,V
2023-01-01,MA
2023-01-01,UNH
2023-01-01,LLY
2023-01-01,JNJ
2023-01-01,XOM
2023-01-01,CVX
2023-01-01,WMT
2023-01-01,COST
2023-01-01,PG
2023-01-01,KO
2023-01-01,HD
2023-01-01,MCD
